family,genus
amaranthaceae,
amaranthaceae,amaranthus
amaranthaceae,atriplex
amaranthaceae,chenopodium
araceae,
aristolochiaceae,asarum
asteraceae,ambrosia
asteraceae,antennaria
asteraceae,artemisia
asteraceae,craspedia
asteraceae,parthenium
betulaceae,alnus
bromeliaceae,tillandsia
caryophyllaceae,paronychia
ceratophyllaceae,ceratophyllum
chloranthaceae,hedyosmum
cistaceae,lechea
convolvulaceae,cuscuta
crassulaceae,crassula
cyperaceae,
cyperaceae,carex
cyperaceae,cyperus
eriocaulaceae,
euphorbiaceae,chamaesyce
haloragaceae,myriophyllum
hydrocharitaceae,elodea
hydrocharitaceae,najas
icacinaceae,pyrenacantha
juncaceae,juncus
marantaceae,
molluginaceae,mollugo
onagraceae,ludwigia
pandanaceae,freycinetia
piperaceae,peperomia
piperaceae,piper
plantaginaceae,callitriche
platanaceae,platanus
poaceae,
poaceae,aristida
poaceae,bouteloua
poaceae,eragrostis
poaceae,muhlenbergia
poaceae,panicum
poaceae,poa
poaceae,sporobolus
polygonaceae,persicaria
polygonaceae,rumex
potamogetonaceae,potamogeton
rosaceae,alchemilla
rubiaceae,galium
ruscaceae,nolina
santalaceae,phoradendron
sarcolaenaceae,xerochlamys
saxifragaceae,mitella
typhaceae,typha
urticaceae,
