family,genus
typhaceae,typha
eriocaulaceae,
icacinaceae,pyrenacantha
araceae,
rosaceae,alchemilla
asteraceae,asteraceae
saxifragaceae,mitella
onagraceae,ludwigia
cyperaceae,
poaceae,eragrostis
aristolochiaceae,asarum
piperaceae,piper
amaranthaceae,
molluginaceae,mollugo
ceratophyllaceae,ceratophyllum
poaceae,panicum
urticaceae,
asteraceae,antennaria
chloranthaceae,hedyosmum
cyperaceae,cyperus
poaceae,sporobolus
poaceae,aristida
pandanaceae,freycinetia
poaceae,
ruscaceae,nolina
marantaceae,
piperaceae,peperomia
poaceae,bouteloua
potamogetonaceae,potamogeton
platanaceae,platanus
poaceae,muhlenbergia
bromeliaceae,tillandsia
santalaceae,phoradendron
euphorbiaceae,chamaesyce
asteraceae,parthenium
poaceae,poa
rubiaceae,galium
cyperaceae,carex
asteraceae,artemisia
plantaginaceae,callitriche
convolvulaceae,cuscuta
polygonaceae,rumex
polygonaceae,persicaria
sarcolaenaceae,xerochlamys
juncaceae,juncus
amaranthaceae,amaranthus
haloragaceae,myriophyllum
caryophyllaceae,paronychia
hydrocharitaceae,elodea
asteraceae,ambrosia
amaranthaceae,atriplex
betulaceae,alnus
cistaceae,lechea
crassulaceae,crassula
asteraceae,craspedia
hydrocharitaceae,najas
amaranthaceae,chenopodium
